type	name	description	githubLink	liveLink	status
chrome	Very Practical Clock Version 1.2	A Chrome extension.		https://chromewebstore.google.com/detail/very-practical-clock/ncooonkkjoeikgkbbljefnmhldpgdpdn	active
chrome	Battery Percentage Version 1.0	A Chrome extension.		https://chromewebstore.google.com/detail/bcknfhofonlfillmlonppglflhgdbeoa	active
chrome	New Tab Organizer 1.1	A Chrome extension.		https://chromewebstore.google.com/detail/new-tab-organizer/llhggelkoodddbgmnmfplcmchbbkkjpk	active
chrome	Google AI Studio - File Reader	A Chrome extension.		https://chromewebstore.google.com/detail/google-ai-studio-file-rea/holadmfpcclmpmkdkmcanifihneflfop?authuser=0&hl=en&pli=1	active
chrome	NotebookLM Source Uploader Version 1.2	A Chrome extension.		https://chromewebstore.google.com/detail/notebooklm-source-uploade/cflibmhmbbbnkjhobikinkkabplcijdj	active
chrome	YouTube Playlist Collector	A Chrome extension.		https://chromewebstore.google.com/detail/youtube-playlist-collecto/noadbldckkkcfkhghjehpdldgppbggde	active
chrome	Youtube Rightclick	A Chrome extension.		https://chromewebstore.google.com/detail/youtube-rightclick/dceebkineaajkfponfimilfebkgbcchh	active
github	URL-pulse	A GitHub project.	https://github.com/KarelTestSpecial/url-pulse	https://kareltestspecial.github.io/url-pulse/	inactive
github	Newtab Startpage Dashboard	A GitHub project.	https://github.com/KarelTestSpecial/startpage
github	Custom Data Tree	A GitHub project.	https://github.com/KarelTestSpecial/custom-data-tree/	https://kareltestspecial.github.io/custom-data-tree/	active
github	Longevity Food Health data tree	A GitHub project.	https://github.com/KarelTestSpecial/LFH/	https://kareltestspecial.github.io/LFH/	active
github	Link-in-bio-Hub	A GitHub project.	https://github.com/KarelTestSpecial/link-in-bio-hub-repo	https://linkinbiohub.web.app	inactive
github	AI Studio File Reader	A GitHub project.	https://github.com/KarelTestSpecial/aistudioreader
github	NotebookLM Source Uploader	A GitHub project.	https://github.com/KarelTestSpecial/notebooklm-source-loader
github	Battery Percentage	A GitHub project.	https://github.com/KarelTestSpecial/battery-percentage
github	Very Practical Clock	A GitHub project.	https://github.com/KarelTestSpecial/very-practical-clock
github	YouTube Rightclick CSV	A GitHub project.	https://github.com/KarelTestSpecial/youtube-rightclick-csv
github	YouTube Playlist CSV	A GitHub project.	https://github.com/KarelTestSpecial/youtube-playlist-csv
github	YouTube Playlist Collector	A GitHub project.	https://github.com/KarelTestSpecial/youtube-playlist-collector
github	YouTube Playlist 2-Way Collector	A GitHub project.	https://github.com/KarelTestSpecial/youtube-2way-collector
github	OCR combi	A GitHub project.	https://github.com/KarelTestSpecial/ocr-combi-addon
github	Vegan BioTech Report	A GitHub project.	https://github.com/profdrkdc/Vegan-BioTech-Report	https://profdrkdc.github.io/Vegan-BioTech-Report/	active
website	Portfolio	My portfolio website.		https://kareltestspecial.github.io/portfolio/	active
website	AutiWiki	A wiki about autism.		https://autiwiki.com	active
website	Longevity & Health Optimization	Built with Manus.im in less than 5 minutes (left unfinished to get a clear picture of what it can and can't do)		https://longevity-aaczmm.manus.space/	active
